source	target	modality	score
TP53	ATM	regulatory	0.88
TP53	CHEK2	regulatory	0.91
TP53	RAD51	functional	0.74
ATM	BRCA1	regulatory	0.83
CHEK2	BRCA1	regulatory	0.86
ATM	RAD51	functional	0.71
RAD51	BRCA1	functional	0.72
BRCA1	RAD51	functional	0.69
EGFR	GRB2	physical	0.84
EGFR	PIK3CA	physical	0.90
EGFR	SHC1	physical	0.85
GRB2	SOS1	functional	0.81
SOS1	MAPK1	functional	0.86
MAPK1	STAT3	functional	0.79
PIK3CA	AKT1	physical	0.92
MAPK1	AKT1	functional	0.63
EGFR	STAT3	functional	0.71
JAK2	STAT3	regulatory	0.88
ERBB2	PIK3CA	physical	0.87
ERBB2	SHC1	physical	0.82
SHC1	GRB2	functional	0.78
SHC1	STAT3	functional	0.73
GAB1	PIK3CA	physical	0.76
SHC1	GAB1	functional	0.75
GAB1	AKT1	functional	0.68
SOS1	KRAS	functional	0.84
KRAS	RAF1	functional	0.82
RAF1	MAPK1	functional	0.80
PTEN	AKT1	regulatory	0.66


